,year,LAD,comparative_adv,Topics
446,2013,Gwynedd,0.0,Healthcare - AI
447,2014,Gwynedd,0.0,Healthcare - AI
448,2015,Gwynedd,0.0,Healthcare - AI
450,2012,Pembrokeshire,0.0,Front-end development
451,2013,Pembrokeshire,0.0,Front-end development
452,2014,Pembrokeshire,0.0,Front-end development
453,2015,Pembrokeshire,0.0,Front-end development
455,2012,Blaenau Gwent,0.0,Front-end development
456,2013,Blaenau Gwent,0.0,Front-end development
457,2014,Blaenau Gwent,0.0,Front-end development
458,2015,Blaenau Gwent,0.0,Front-end development
460,2012,Carmarthenshire,0.0,Front-end development
461,2013,Carmarthenshire,0.0,Front-end development
462,2014,Carmarthenshire,0.0,Front-end development
463,2015,Carmarthenshire,0.0,Front-end development
465,2012,Cardiff,0.16480949840166587,Front-end development
466,2013,Cardiff,0.049691294816883766,Front-end development
467,2014,Cardiff,0.07381565579746494,Front-end development
468,2015,Cardiff,0.0914384531104782,Front-end development
470,2012,Swansea,0.0,Front-end development
471,2013,Swansea,0.0,Front-end development
472,2014,Swansea,0.0734808815208646,Front-end development
473,2015,Swansea,0.14022534272404996,Front-end development
475,2012,Gwynedd,0.0,Front-end development
476,2013,Gwynedd,0.0,Front-end development
477,2014,Gwynedd,0.0,Front-end development
478,2015,Gwynedd,0.5441142200288007,Front-end development
480,2012,Pembrokeshire,0.0,Digital Marketing
481,2013,Pembrokeshire,0.0,Digital Marketing
482,2014,Pembrokeshire,0.0,Digital Marketing
483,2015,Pembrokeshire,0.2483444869419469,Digital Marketing
485,2012,Blaenau Gwent,0.0,Digital Marketing
486,2013,Blaenau Gwent,0.0,Digital Marketing
487,2014,Blaenau Gwent,0.0,Digital Marketing
488,2015,Blaenau Gwent,0.0,Digital Marketing
490,2012,Carmarthenshire,0.0,Digital Marketing
491,2013,Carmarthenshire,0.0,Digital Marketing
492,2014,Carmarthenshire,0.0,Digital Marketing
493,2015,Carmarthenshire,0.0,Digital Marketing
495,2012,Cardiff,0.0,Digital Marketing
496,2013,Cardiff,0.0,Digital Marketing
497,2014,Cardiff,0.4571427059874008,Digital Marketing
498,2015,Cardiff,0.0,Digital Marketing
500,2012,Swansea,0.0,Digital Marketing
501,2013,Swansea,0.0,Digital Marketing
502,2014,Swansea,0.0,Digital Marketing
503,2015,Swansea,0.0,Digital Marketing
505,2012,Gwynedd,0.0,Digital Marketing
506,2013,Gwynedd,0.0,Digital Marketing
507,2014,Gwynedd,0.0,Digital Marketing
508,2015,Gwynedd,0.0,Digital Marketing
510,2012,Pembrokeshire,0.0,Cloud - Mixed_21
511,2013,Pembrokeshire,0.0,Cloud - Mixed_21
512,2014,Pembrokeshire,0.0,Cloud - Mixed_21
513,2015,Pembrokeshire,0.0,Cloud - Mixed_21
515,2012,Blaenau Gwent,0.0,Cloud - Mixed_21
516,2013,Blaenau Gwent,0.0,Cloud - Mixed_21
517,2014,Blaenau Gwent,0.0,Cloud - Mixed_21
518,2015,Blaenau Gwent,0.0,Cloud - Mixed_21
520,2012,Carmarthenshire,0.0,Cloud - Mixed_21
521,2013,Carmarthenshire,0.0,Cloud - Mixed_21
522,2014,Carmarthenshire,0.0,Cloud - Mixed_21
523,2015,Carmarthenshire,0.0,Cloud - Mixed_21
525,2012,Cardiff,0.0,Cloud - Mixed_21
526,2013,Cardiff,0.0,Cloud - Mixed_21
527,2014,Cardiff,0.0,Cloud - Mixed_21
528,2015,Cardiff,0.0,Cloud - Mixed_21
530,2012,Swansea,0.0,Cloud - Mixed_21
531,2013,Swansea,0.0,Cloud - Mixed_21
532,2014,Swansea,0.0,Cloud - Mixed_21
533,2015,Swansea,0.0,Cloud - Mixed_21
535,2012,Gwynedd,0.0,Cloud - Mixed_21
536,2013,Gwynedd,0.0,Cloud - Mixed_21
537,2014,Gwynedd,0.0,Cloud - Mixed_21
538,2015,Gwynedd,0.0,Cloud - Mixed_21
540,2012,Pembrokeshire,0.0,3D - Design
541,2013,Pembrokeshire,0.0,3D - Design
542,2014,Pembrokeshire,0.0,3D - Design
543,2015,Pembrokeshire,0.0,3D - Design
545,2012,Blaenau Gwent,0.0,3D - Design
546,2013,Blaenau Gwent,0.0,3D - Design
547,2014,Blaenau Gwent,0.0,3D - Design
548,2015,Blaenau Gwent,0.0,3D - Design
550,2012,Carmarthenshire,0.0,3D - Design
551,2013,Carmarthenshire,0.0,3D - Design
552,2014,Carmarthenshire,0.0,3D - Design
553,2015,Carmarthenshire,0.0,3D - Design
555,2012,Cardiff,0.0,3D - Design
556,2013,Cardiff,0.0,3D - Design
557,2014,Cardiff,0.0,3D - Design
558,2015,Cardiff,0.0,3D - Design
560,2012,Swansea,0.0,3D - Design
561,2013,Swansea,0.0,3D - Design
562,2014,Swansea,0.0,3D - Design
563,2015,Swansea,0.0,3D - Design
565,2012,Gwynedd,0.0,3D - Design
566,2013,Gwynedd,0.0,3D - Design
567,2014,Gwynedd,0.0,3D - Design
568,2015,Gwynedd,0.0,3D - Design
570,2012,Pembrokeshire,0.0,Wordpress
571,2013,Pembrokeshire,0.0,Wordpress
572,2014,Pembrokeshire,0.0,Wordpress
573,2015,Pembrokeshire,3.4404676162509635,Wordpress
575,2012,Blaenau Gwent,0.0,Wordpress
576,2013,Blaenau Gwent,0.0,Wordpress
577,2014,Blaenau Gwent,0.0,Wordpress
578,2015,Blaenau Gwent,0.0,Wordpress
580,2012,Carmarthenshire,0.0,Wordpress
581,2013,Carmarthenshire,0.0,Wordpress
582,2014,Carmarthenshire,0.0,Wordpress
583,2015,Carmarthenshire,0.0,Wordpress
585,2012,Cardiff,0.0,Wordpress
586,2013,Cardiff,0.0,Wordpress
587,2014,Cardiff,0.0,Wordpress
588,2015,Cardiff,0.0,Wordpress
590,2012,Swansea,0.0,Wordpress
591,2013,Swansea,0.0,Wordpress
592,2014,Swansea,0.0,Wordpress
593,2015,Swansea,0.0,Wordpress
595,2012,Gwynedd,0.0,Wordpress
596,2013,Gwynedd,0.0,Wordpress
597,2014,Gwynedd,0.0,Wordpress
598,2015,Gwynedd,0.0,Wordpress
600,2012,Pembrokeshire,0.0,Blockchain
601,2013,Pembrokeshire,0.0,Blockchain
602,2014,Pembrokeshire,0.0,Blockchain
603,2015,Pembrokeshire,0.0,Blockchain
605,2012,Blaenau Gwent,0.0,Blockchain
606,2013,Blaenau Gwent,0.0,Blockchain
607,2014,Blaenau Gwent,0.0,Blockchain
608,2015,Blaenau Gwent,0.0,Blockchain
610,2012,Carmarthenshire,0.0,Blockchain
611,2013,Carmarthenshire,0.0,Blockchain
612,2014,Carmarthenshire,0.0,Blockchain
613,2015,Carmarthenshire,0.0,Blockchain
615,2012,Cardiff,0.0,Blockchain
616,2013,Cardiff,0.0,Blockchain
617,2014,Cardiff,0.0,Blockchain
618,2015,Cardiff,0.0,Blockchain
620,2012,Swansea,0.0,Blockchain
621,2013,Swansea,0.0,Blockchain
622,2014,Swansea,0.0,Blockchain
623,2015,Swansea,0.0,Blockchain
625,2012,Gwynedd,0.0,Blockchain
626,2013,Gwynedd,0.0,Blockchain
627,2014,Gwynedd,0.0,Blockchain
628,2015,Gwynedd,0.0,Blockchain
