organisation_x,organisation_y,collab_n,similarity_color_rgba
S&C Electric Europe Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of Glamorgan,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
OpTIC Glyndwr Ltd,Welsh Government,1,"(1, 0, 0, 0.9)"
QMC Instruments Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Qioptiq Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Automotive Forum,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Syfer Technology Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Alun Griffiths (Contractors) Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Scanwel Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Capital Region Board,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Biocatalysts Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
A Schulman Inc Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Natural Resources Wales,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ABM University NHS Trust,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SPECIFIC (Innovation and Knowledge Ctr),Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Surface Technology Systems Plc,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,Welsh Government,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
University Hospital of Wales,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,Welsh Government,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
